parameter,param_type,participant,mean,2.5%,50%,97.5%,task,feedback,frame,time_pressure,task_label
alpha[15],alpha,15,1.7731253014071273,0.18452163143845052,1.8369334012360943,3.0281472988035696,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[16],alpha,16,1.5519459807069698,-0.0016023607505808914,1.653314640894528,2.5994265790475644,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[17],alpha,17,1.7769257109472496,0.20451327437702282,1.834876055599151,3.0582390307439224,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[18],alpha,18,1.9866369134400883,0.5843928763353411,1.9596793525077079,3.5103253432037045,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[19],alpha,19,2.1613757239661955,0.9819906586556315,2.0715998638046735,3.840530777292223,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[20],alpha,20,1.9972536192178105,0.6785526809472058,1.9651800833951627,3.478604894802227,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[21],alpha,21,1.7919166149425558,0.18941592935103968,1.8456527185930074,3.044387146981987,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[22],alpha,22,2.265353241053887,1.0761538247220261,2.133237853052255,4.1577626301779125,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[23],alpha,23,2.107664202633446,1.0141767788738634,2.0507036128151777,3.4680464412107423,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[24],alpha,24,2.045021296664587,0.7056643350158567,2.0107694695613985,3.555798224362334,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[25],alpha,25,1.9219310276117814,0.41808823561160907,1.9263492520626162,3.384432753627741,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[26],alpha,26,2.190405164329767,1.1431074203492309,2.0999631382776047,3.7233656388667034,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[27],alpha,27,1.9715298582418073,0.653677426202638,1.9557937712352622,3.3300237166722257,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[28],alpha,28,1.9445946188030847,0.5463627250726839,1.9442518952539147,3.290277450861936,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[29],alpha,29,1.8128799006645169,0.4249366357264006,1.8563160167299437,2.9398767947603357,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[30],alpha,30,2.034139633991396,0.6993602647482446,1.987815018621809,3.5704403013390396,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[31],alpha,31,2.0827025157977563,0.7247846555621613,2.0186470027603702,3.745497145432374,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[32],alpha,32,1.9264011150693392,0.5418327661725058,1.923839960330437,3.337920731761323,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[33],alpha,33,1.6382328551786243,0.17363646167595426,1.732952760944686,2.691409600985076,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
